,ProductName,PriceSale,Brand,RamCapacity,DisplaySize,DisplayResolution,CPUBrand,PinCapacity,PinCell,Bluetooth,Weight,OS,DiskSpace
0,Laptop Gaming Acer Nitro 5 AN515 45 R6EV,18690000,ACER,8,15.6,1920x1080,INTEL,,4,5,2.2,WINDOW,512
1,Laptop Lenovo Ideapad 5 PRO 14ACN6 82L700M9VN,18290000,LENOVO,16,14.0,2880x1800,INTEL,56.5,,5,1.38,WINDOW,512
2,Laptop Asus Gaming TUF FX506LH HN188W,16390000,ASUS,8,15.6,1920x1080,INTEL,48.0,3,5,2.3,WINDOW,512
3,Laptop Lenovo ThinkPad E14,13490000,LENOVO,8,14.0,1080x1920,INTEL,,3,5,1.73,FREE,1024
4,Laptop Dell Inspiron 3511 5G8TF,9990000,DELL,4,15.6,,INTEL,,,,,WINDOW,128
5,Laptop HP 15-DW3033DX 405F6UA,11490000,HP,8,15.6,1080x1920,INTEL,41.0,3,4,1.75,WINDOW,256
6,Laptop Lenovo Ideapad 3 15ITL6,10690000,LENOVO,8,15.6,1920x1080,INTEL,38.0,2,5,1.65,WINDOW,256
7,Laptop HP Envy X360 13-BD0063DX,20790000,HP,8,13.3,1920x1080,INTEL,51.0,3,5,1.32,WINDOW,256
8,Laptop HP 14-CF2033WM 3V7G4UA,6490000,HP,4,14.0,1366x768,INTEL,41.0,3,4,1.47,,128
9,Laptop ASUS VivoBook A515EA-BQ1530W,11990000,ASUS,4,15.6,1920x1080,INTEL,42.0,3,5,1.7,WINDOW,512
10,Laptop ASUS ZenBook Flip UX363EA,22490000,ASUS,8,13.3,1080x1920,INTEL,67.0,4,5,1.3,WINDOW,512
11,Laptop Asus Vivobook 13 Slate Oled T3300KA,15790000,ASUS,8,13.3,,INTEL,50.0,3,5,0.78,WINDOW,256
12,Apple MacBook Air M1 256GB 2020 I Chính hãng Apple Việt Nam,22590000,APPLE,8,13.3,2560x1600,,,,5,1.29,MACOS,256
13,Laptop Asus Gaming Rog Strix G15 G513IH HN015W,18490000,ASUS,8,15.6,1920x1080,INTEL,,,,2.1,WINDOW,512
14,Laptop Asus TUF Gaming FA506IHR HN019W,15990000,ASUS,8,15.6,1920x1080,INTEL,48.0,3,5,2.3,WINDOW,512
15,Laptop Dell Insprion 14 5406-3661SLV Nhập khẩu chính hãng,13290000,DELL,8,14.0,1366x768,INTEL,,3,,,WINDOW,256
16,Laptop Gaming MSI Bravo 15 B5DD 276VN,15190000,MSI,8,15.6,1920x1080,INTEL,,3,,2.35,WINDOW,512
17,Apple MacBook Pro 13 Touch Bar M1 256GB 2020 I Chính hãng Apple Việt Nam,29990000,APPLE,8,13.3,2560x1600,,,,5,1.4,MACOS,256
18,Apple iMac 27 5K 2020 i5 3.1 8GB 256GB Radeon 5300 Chính Hãng (MXWT2),31990000,APPLE,8,27.0,5120x2880,INTEL,,,5,8.92,MACOS,256
19,Laptop ASUS VivoBook D515DA-EJ845T,9990000,ASUS,4,15.6,1920x1080,INTEL,37.0,2,5,1.8,WINDOW,512
20,Macbook Pro 14 inch 2021 | Chính hãng Apple Việt Nam,48590000,APPLE,16,14.2,3024x1964,INTEL,,,5,,MACOS,512
21,Laptop MSI Modern 14 B11MOU 1030VN,11790000,MSI,8,14.0,1920x1080,INTEL,39.0,3,5,1.3,WINDOW,256
22,Laptop Asus Vivobook A415EA EB1474W,15190000,ASUS,8,14.0,1920x1080,INTEL,42.0,3,5,1.4,WINDOW,512
23,Laptop Huawei Matebook 14,19990000,HUAWEI,8,14.0,2160x1440,INTEL,56.0,,5,49.0,WINDOW,512
24,Laptop ASUS ZenBook Flip UX363EA,22490000,ASUS,8,13.3,1920x1080,INTEL,67.0,4,5,1.3,WINDOW,512
25,Laptop Huawei Matebook D14,15990000,HUAWEI,8,14.0,1920x1080,INTEL,56.0,,5,1.38,WINDOW,512
26,Laptop Huawei Matebook 14,20990000,HUAWEI,16,14.0,2160x1440,INTEL,56.0,,5,1.49,WINDOW,512
27,Surface Pro 7 Core i5 / 8GB / 128GB Nhập Khẩu Chính Hãng,19990000,MICROSOFT,8,12.3,2736x1824,INTEL,2.0,,5,,WINDOW,128
28,Laptop Asus Gaming Rog Zenphyrus G14 Ga401QH K2091W,24490000,ASUS,8,14.0,2560x1440,INTEL,76.0,4,5,1.7,WINDOW,512
29,Laptop Asus Flip BR1100FKA-BP1088W,5690000,ASUS,4,11.6,1366x768,INTEL,42.0,3,5,1.4,WINDOW,
30,Laptop ASUS Gaming FX506LH-HN002T,16790000,ASUS,8,15.6,1920x1080,INTEL,48.0,3,5,2.2,WINDOW,512
31,Laptop ASUS Gaming FX506LH-HN002T,16790000,ASUS,8,15.6,1920x1080,INTEL,48.0,3,5,2.2,WINDOW,512
32,Laptop Gaming Acer Aspire 7 A715-42G-R4XX NH.QAYSV.003,15490000,ACER,8,15.6,1920x1080,INTEL,48.0,3,5,2.1,WINDOW,256
33,Apple Mac mini M1 256GB 2020 I Chính hãng Apple Việt Nam,17500000,APPLE,8,,,,,,5,1.2,MACOS,256
34,Laptop Asus Vivobook Flip 14 TP470EA EC347W,18390000,ASUS,8,14.0,1920x1080,INTEL,42.0,3,5,1.5,WINDOW,512
35,Laptop MSI Modern 14 B5M 204VN,13490000,MSI,8,14.0,1920x1080,INTEL,39.0,3,,1.3,WINDOW,512
36,Laptop MSI Gaming GF63 10SC 804VN,17590000,MSI,8,15.6,1920x1080,INTEL,51.0,3,5,1.86,WINDOW,512
37,Mac Studio 2022 M1 Max 10 CPU | Chính hãng Apple Việt Nam,52990000,APPLE,32,,,INTEL,,,5,2.7,,
38,Laptop Asus Rog Flow Z13 GZ301ZC-LD110W,45990000,ASUS,16,13.4,1920x1200,INTEL,56.0,4,5,1.18,WINDOW,512
39,Apple MacBook Air M1 16GB 256GB 2020 I Chính hãng Apple Việt Nam,28990000,APPLE,16,13.3,2560x1600,,,,5,1.29,MACOS,256
40,Laptop Gaming Acer Nitro 5 Eagle AN515-57-54MV NH.QENSV.003,20990000,ACER,8,15.6,1920x1080,INTEL,5.0,4,5,2.2,WINDOW,512
41,Laptop Huawei Matebook D15,16990000,HUAWEI,8,15.6,1920x1080,INTEL,42.0,,5,56.0,WINDOW,512
42,Laptop Gaming Acer Nitro 5 Eagle AN515-57-720A NH.QEQSV.004,23990000,ACER,8,15.6,1920x1080,INTEL,5.0,,5,2.2,WINDOW,512
43,Laptop Asus Vivobook A415 EB1750W,11890000,ASUS,8,14.0,1920x1080,INTEL,42.0,3,5,1.4,WINDOW,256
44,Laptop ASUS TUF Gaming F15 FX507ZC-HN124W,26790000,ASUS,8,15.6,1920x1080,INTEL,56.0,4,5,2.2,WINDOW,512
45,Laptop ASUS VivoBook A515EA-L12033W,16990000,ASUS,8,15.6,1920x1080,INTEL,42.0,3,5,1.8,WINDOW,512
46,Surface Laptop Go Core i5 / 8GB / 128 GB / 12.4 inch Nhập Khẩu Chính Hãng,16990000,MICROSOFT,8,12.4,1536x1024,INTEL,,,5,,WINDOW,128
47,Laptop Lenovo ideapad 5 Pro 16ACH 82l500levn,27990000,LENOVO,16,16.0,2560x1600,INTEL,75.0,4,5,1.9,WINDOW,512
48,Laptop MSI Katana GF66 11UD-696VN,23490000,MSI,8,15.6,1920x1080,INTEL,53.5,3,5,2.25,WINDOW,512
49,Laptop ASUS Zenbook Duo 14 UX482EG,28990000,ASUS,8,14.0,1920x1080,INTEL,70.0,4,5,1.61,WINDOW,512
50,Laptop Lenovo IdeaPad Gaming 3 15ACH6 82K201BBVN,15990000,LENOVO,8,15.6,1920x1080,INTEL,45.0,3,5,2.25,WINDOW,512
51,Laptop MSI Modern 15 A5M 238VN,14190000,MSI,8,15.6,1920x1080,INTEL,52.0,3,5,1.6,WINDOW,512
52,Surface Pro 8 Core i5 / 8GB / 128GB Nhập khẩu chính hãng,25990000,MICROSOFT,8,13.0,2880x1920,INTEL,,,5,,WINDOW,128
53,Laptop HP Pavilion 15-EG0505TU 46M02PA,17390000,HP,8,15.6,1920x1080,INTEL,41.0,3,5,1.677,WINDOW,512
54,Laptop Lenovo Ideapad Slim 3 15ITL05 81X800KRVN,10990000,LENOVO,8,15.6,1366x768,INTEL,35.0,,5,1.7,WINDOW,256
