Title,Price sale,Price origin,url,Loại card đồ họa,Dung lượng RAM,Ổ cứng,Kích thước màn hình,Công nghệ màn hình,Hệ điều hành,Cổng giao tiếp,Loại RAM,Số khe ram,Pin,Độ phân giải màn hình,Socket.690.000đKhi thu cũ lên đời,27.990.000đ,https://cellphones.com.vn/macbook-air-m3-13-inch-2024.html,GPU 8 Lõi,8GB,256GB SSD,13.6 inches,True Tone,MacOS,Cổng sạc MagSafe 3Hai cổng Thunderbolt / USB 4
Apple Macbook Air M2 2022 8GB 256GB I Chính hãng Apple Việt Nam,22.690.000đKhi thu cũ lên đời,32.990.000đ,https://cellphones.com.vn/macbook-air-m2-2022.html,,,,,,,
Laptop ASUS TUF Gaming F15 FX506HF-HN078W,14.290.000đKhi thu cũ lên đời,20.990.000đ,https://cellphones.com.vn/laptop-asus-tuf-gaming-f15-fx506hf-hn078w.html,,,,,,,
Laptop Lenovo LOQ 15IAX9 83GS001RVN,17.190.000đKhi thu cũ lên đời,22.490.000đ,https://cellphones.com.vn/laptop-lenovo-loq-15iax9-83gs001rvn.html,,,,,,,
Apple Macbook Air M2 2022 16GB 256GB I Chính hãng Apple Việt Nam,27.790.000đKhi thu cũ lên đời,39.990.000đ,https://cellphones.com.vn/macbook-air-m2-2022-16gb.html,,,,,,,
Laptop ASUS VivoBook S 14 FLIP TP3402VA-LZ025W,8.490.000đKhi thu cũ lên đời,16.990.000đ,https://cellphones.com.vn/laptop-asus-vivobook-s-14-flip-tp3402va-lz025w.html,Intel UHD Graphics,8GB,SSD 256GB M.2 NVMe PCIe 4.0,14 inches,Độ sáng tối đa 300nits Độ phủ màu 45% NTSCMàn hình chống chói,Windows 11 Home,1x USB 2.0 Type-A 1x USB 3.2 Gen 2 Type-A1x USB 3.2 Gen 2 Type-C support display / power delivery1x HDMI 2.1 TMDS1x 3.5mm Combo Audio Jack1x DC-in,DDR4 Onboard,8GB onboard + 1 khe ramNâng cấp tối đa 16GB,"50WHrs, 3S1P, Li-ion 3 cell",1920 x 1200 pixels (WUXGA)
Laptop ASUS Zenbook 14 OLED UM3402YA-KM405W,17.490.000đKhi thu cũ lên đời,24.990.000đ,https://cellphones.com.vn/laptop-asus-zenbook-14-oled-um3402ya-km405w.html,AMD Radeon Graphics,16GB,512GB M.2 NVMe PCIe 3.0 SSD,14 inches,Thời gian phản hồi 0.2ms  Độ sáng tối đa  400 nit HDR Độ phủ màu 100% DCI-P3 Display HDR True Black 600 1 tỉ màu PANTONE Validated Glossy display Giảm ánh sáng xanh 70% SGS Eye Care Display,Windows 11 Home,1x USB 3.2 Gen 2 Type-A2x USB 3.2 Gen 2 Type-C (Hỗ trợ hiển thị / sạc)1x HDMI 2.1 TMDS1x 3.5mm Combo Audio JackĐầu đọc thẻ Micro SD,LPDDR4X Onboard,,"75WHrs, 2S2P, 4-cell Li-ion",2880 x 1800 pixels
Macbook Air M3 15 inch 2024 8GB - 256GB | Chính hãng Apple Việt Nam,29.990.000đKhi thu cũ lên đời,32.990.000đ,https://cellphones.com.vn/macbook-air-m3-15-inch-2024.html,GPU 10 lõi,8GB,256GB SSD,15.3 inches,True Tone,MacOS,Cổng sạc MagSafe 3Hai cổng Thunderbolt / USB 4,,,,
Macbook Pro 14 M3 Pro 18GB - 512GB | Chính hãng Apple Việt Nam,47.990.000đKhi thu cũ lên đời,,https://cellphones.com.vn/macbook-pro-14-inch-m3-pro-2023-18gb-512gb.html,14 nhânNeural Engine 16 nhân,,512GB,14.2 inches,Độ sáng XDR: 1000 nit liên tục ở chế độ toàn màn hìnhĐộ sáng đỉnh 1600 nit (chỉ nội dung HDR)True ToneProMotion ,,Hai cổng Thunderbolt / USB 4 (USB-C)Ba cổng Thunderbolt 4 (USB-C)Cổng HDMI Cổng HDMIKhe thẻ nhớ SDXCJack 3.5mm,,,70Wh,3024 x 1964 pixels 
Laptop ASUS TUF Gaming F15 FX507ZC4-HN074W,16.490.000đKhi thu cũ lên đời,25.990.000đ,https://cellphones.com.vn/laptop-asus-tuf-gaming-f15-fx507zc4-hn074w.html,NVIDIA GeForce RTX 3050 4GB GDDR6  Intel Iris Xe Graphics,8GB,512GB PCIe 3.0 NVMe M.2 SSD (1 khe SSD M.2 trống nâng cấp tối đa đến 1TB),15.6 inches,"Độ sáng 250nits  Độ phủ màu: NTSC 45%, SRGB 62.50%, Adobe 47.34%  Màn hình chống chói  Adaptive-Sync",Windows 11 Home,1x RJ45 LAN  1x Thunderbolt 4 hỗ trợ DisplayPort 1x USB 3.2 Gen 2 Type-C hỗ trợ DisplayPort / G-SYNC 2x USB 3.2 Gen 1 Type-A 1x HDMI 2.1 TMDS  1x 3.5mm Combo Audio Jack,DDR4-3200 SO-DIMM,2 khe SO-DIMM (Nâng cấp tối đa 32GB),"56WHrs, 4S1P, 4-cell Li-ion",1920 x 1080 pixels (FullHD)
Laptop Lenovo Ideapad Slim 5 14IAH8 83BF002NVN,12.190.000đKhi thu cũ lên đời,17.290.000đ,https://cellphones.com.vn/laptop-lenovo-ideapad-slim-5-14iah8-83bf002nvn.html,Intel UHD Graphics,16GB,512GB SSD M.2 2242 PCIe 4.0x4 NVMe (nâng cấp tối đa đến 1TB),14 inches,Độ sáng 300nits  Màn hình chống chói  Độ phủ màu 45% NTSC  TÜV Low Blue Light,Windows 11 Home,"1x USB 3.2 Gen 11x USB 3.2 Gen 1 (Luôn bật) 2x USB-C 3.2 Gen 1 (Truyền dữ liệu, Power Delivery 3.0, DisplayPort 1.4) 1x HDMI 1.4b 1x Đầu đọc thẻ microSD1x Headphone / microphone combo jack (3.5mm)",LPDDR5-4800 Onboard,,56.6Wh,1920 x 1200 pixels (WUXGA)
Laptop ASUS VivoBook 15 OLED A1505VA-L1114W,14.590.000đKhi thu cũ lên đời,20.990.000đ,https://cellphones.com.vn/laptop-asus-vivobook-15-oled-a1505va-l1114w.html,Intel Iris Xe Graphics,16GB,512GB M.2 NVMe PCIe 3.0 SSD,15.6 inches,Thời gian phản hồi 0.2msTần số quét 60HzĐộ sáng tối đa 600nits HDRĐộ phủ màu 100% DCI-P3Display HDR True Black 6001.07 tỷ màuTÜV Rheinland-certifiedSGS Eye Care Display,Windows 11 Home,1x USB 2.0 Type-A 1x USB 3.2 Gen 1 Type-C (Sạc) 2x USB 3.2 Gen 1 Type-A 1x HDMI 1.4 1x 3.5mm Combo Audio Jack 1x DC-in,DDR4,2 khe (8GB DDR4 Onboard + 8GB DDR4 SO-DIMM),"50WHrs, 3S1P, 3-cell Li-ion",1920 x 1080 pixels (FullHD)
Laptop MSI Gaming GF63 12VE-460VN,18.490.000đKhi thu cũ lên đời,22.490.000đ,https://cellphones.com.vn/laptop-msi-gaming-gf63-12ve-460vn.html,NVIDIA GeForce RTX 4050 6 GB,8GB,512 GB SSD NVMe PCIe Gen 4.0Hỗ trợ khe cắm HDD SATA 2.5 inch mở rộng,15.6 inches,Màn hình chống chói ,Windows 11 Home SL,"1x HDMI 1x Jack tai nghe 3.5 mm 3x USB 3.2 & USB 2.0 1x USB Type-C (hỗ trợ USB 3.2, DisplayPort) 1x LAN (RJ45)",DDR4 3200 MHz,"2 khe (1 khe 8 GB + 1 khe rời, hỗ trợ nâng cấp tối đa 64GB)","3-cell Li-ion, 52.4 Wh",1920 x 1080 pixels (FullHD)
Apple MacBook Pro 13 M2 2022 8GB 512GB I Chính hãng Apple Việt Nam,31.690.000đKhi thu cũ lên đời,41.990.000đ,https://cellphones.com.vn/macbook-pro-m2-2022-512gb.html,,,,,,,,,,,
Laptop Lenovo LOQ 15IAX9 83GS000FVN,14.490.000đKhi thu cũ lên đời,20.490.000đ,https://cellphones.com.vn/laptop-lenovo-loq-15iax9-83gs000fvn.html,,,,,,,,,,,
