Title,Price sale,Price origin,Màn hình,CPU,RAM,Ổ cứng,Đồ họa,Hệ điều hành,Trọng lượng,Kích thước,Xuất xứ,Năm ra mắt,urlre","AMD, Ryzen 5, 7520U","8 GB (1 thanh 8 GB), DDR4",SSD 256 GB,AMD Radeon Graphics,Windows 11 Home Single Language,1.36 kg,32.4 x 21.5 x 1.79 cm,Trung Quốc,2023,https://fptshop.com.vn/may-tinh-xach-tay/hp-245-g10-r5-7520u-9h8x8pt
"Laptop Asus Vivobook E1404FA-NK186W R5 7520U/16GB/512GB/14"" FHD/Win11 (No.00872250)",12.290.000₫,14.990.000₫,"14.0 inch, 1920 x 1080 Pixels, IPS, 60 Hz, 250 nits, LED-backlit","AMD, Ryzen 5, 7520U","16 GB, LPDDR5, 5500 MHz",SSD 512 GB,AMD Radeon Graphics,Windows 11 Home,1.3 kg,32.45 x 21.39 x 1.79 cm,Trung Quốc,4/2023,https://fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-e1404fa-nk186w-r5-7520u
"Laptop Lenovo Gaming LOQ - 15IAX9 i5 12450HX/AI/16GB/512GB/15.6""FHD/Nvidia RTX 2050 4GB/Win11 (No.00906453)",18.490.000₫,21.490.000₫,"15.6 inch, 1920 x 1080 Pixels, IPS, 144, 300 nits, Anti-Glare","Intel, Core i5, 12450HX","16 GB (2 thanh 8 GB), DDR5, 4800 MHz",SSD 512 GB,NVIDIA GeForce RTX 2050 4GB GDDR6,Windows 11 Home Single LanguageWindows 11 Home Single Language (ColorOS 13.1),2.38 kg,359.86 x 258.7 x 21.9-23.9 mm,Trung Quốc,2024,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-gaming-loq-15iax-9-i5-12450hx
Laptop HP 14s-em0086AU R5 7520U/16GB/512GB/14''FHD/AMD Radeon Graphics/Win11 (No.00874398),13.490.000₫,15.190.000₫,"14 inch, 1920 x 1080 Pixels, SVA, 60 Hz, 250 nits, FHD","AMD, Ryzen 5, 7520U","16 GB, LPDDR5, 5500 MHz",SSD 512 GB,AMD Radeon Graphics,Windows 11 Home,1.4 kg,32.37 x 21.5 x 1.79 cm,Trung Quốc,2023,https://fptshop.com.vn/may-tinh-xach-tay/hp-14s-em0086au-r5-7520u
,,,,,,,,,,,,,https://fptshop.com.vn/may-tinh-xach-tay/msiI-modern-14-c7m-221vn-r7-7730u
"Laptop Acer Aspire 3 A315-44P-R5QG R7 5700U/16GB/512GB/15.6""FHD/Win11 (No.00906291)",12.490.000₫,14.990.000₫,"15.6 inch, 1920 x 1080 Pixels, IPS, 60, FHD","AMD, Ryzen 7, 7500U","16 GB, DDR4",SSD 512 GB,AMD Radeon Graphics,Windows 11 Home,1.7 kg,362.9 x 241.26 x 19.9 mm,Trung Quốc,2023,https://fptshop.com.vn/may-tinh-xach-tay/acer-aspire-3-a315-44p-r5qg-r7-5700u
Laptop HP Pavilion Aero 13-be2098AU R7 7735U/16GB/512GB/13.3''WUXGA/Win11 (No.00900050),19.490.000₫,21.990.000₫,"13.3 inch, 1920 x 1200 Pixels, IPS, , 400 nits, LCD","AMD, Ryzen 7, 7735U","16 GB (1 thanh 16 GB), DDR4, 3200 MHz",SSD 512 GB,AMD Radeon Graphics,Windows 11,1 kg,29.76 x 20.9 x 1.69 cm,Trung Quốc,2023,https://fptshop.com.vn/may-tinh-xach-tay/hp-pavilion-aero-13-be2098au-r7-7735u
"Laptop Asus TUF Gaming FX507ZC4-HN095W i5 12500H/16GB/512GB/15.6""/Nvidia RTX 3050 4GB/Win11 (No.00883758)",20.990.000₫,24.990.000₫,"15.6 inch, 1920 x 1080 Pixels, IPS, 144 Hz, 250 nits, Anti - Glare","Intel, Core i5, 12500H","16 GB (2 thanh 8 GB), DDR4, 3200 MHz",SSD 512 GB,NVIDIA GeForce RTX 3050 4GB; Intel Iris Xe Graphics,Windows 11 Home,2.2 kg,35.4 x 25.1 x 2.24 ~ 2.49 cm,Trung Quốc,2022,https://fptshop.com.vn/may-tinh-xach-tay/asus-tuf-gaming-fx507zc4-hn095w-i5-12500h
"Laptop Lenovo Ideapad 3 15IAU7 i7 1255U/16GB/512GB/15.6""FHD/Win 11 (No.00899872)",15.690.000₫,17.490.000₫,"15.6 inch, 1920 x 1080 Pixels, IPS, Hãng không công bố Hz, 300 nits, IPS","Intel, Core i7, 1255U","16 GB, DDR4, 3200 MHz",SSD 512 GB,Intel Iris Xe Graphics,Windows 11 Home Single Language,1.63 kg,359.2 x 236.5 x 19.9 mm,Trung Quốc,2023,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-ideapad-3-15iau7-i7-1255u
"Laptop MSI Modern 14 C7M-220VN R5 7530U/8GB/512GB/14""FHD/Win 11 (No.00895155)",10.490.000₫,11.990.000₫,"14.0 inch, 1920 x 1080 Pixels, IPS, 60 Hz, FHD","AMD, Ryzen 5, 7530U","8 GB, DDR4, 3200 MHz",SSD 512 GB,AMD Radeon Graphics,Windows 11 Home,1.4 kg,319.9 x 223 x 19.35 mm,Trung Quốc,2023,https://fptshop.com.vn/may-tinh-xach-tay/msi-modern-14-c7m-220vn-r5-7530u
Laptop Asus TUF Gaming FX506HF-HN017W i5 11400H/16GB/512GB/GeForce RTX 2050 4GB/Win11 (No.00870696),17.490.000₫,19.990.000₫,"15.6 inch, 1920 x 1080 Pixels, IPS, 144 Hz, Anti-Glare","Intel, Core i5, 11400H","16 GB (2 thanh 8 GB), DDR4, 3200 MHz",SSD 512 GB,,Windows 11 Home,2.3 kg,359 x 256 x 22.8 ~ 24.3 mm,Trung Quốc,4/2023,https://fptshop.com.vn/may-tinh-xach-tay/asus-tuf-gaming-fx506hf-hn017w-i5-11400h
"Laptop Dell Inspiron 15 N3530 i5 1335U/16GB/512GB/15.6""FHD/NVIDIA MX550 2GB/Win11/Office HS21 (No.00904770)",22.090.000₫,,"15.6 inch, FHD (1920 x 1080), WVA, 120 Hz, 250 nits, Anti-Glare LED-Backlit Display","Intel, Core i5, 1335U","16 GB (2 thanh 8 GB), DDR4, 2666 MHz",SSD 512 GB,NVIDIA GeForce MX550 2GB,Windows 11 Home,1.66 kg,358 x 236 x 18 mm,Trung Quốc,2023,https://fptshop.com.vn/may-tinh-xach-tay/dell-inspiron-15-n3530-i5-1335u
"Laptop Asus Vivobook X1404ZA-NK387W i3 1215U/8GB/512GB/14"" FHD/Win11 (No.00904944)",9.990.000₫,11.990.000₫,"14 inch, FHD (1920 x 1080), IPS, 60 Hz, FHD","Intel, Core i3, 1215U","8 GB (1 thanh 8 GB), DDR4",SSD 512 GB,Intel UHD Graphics,Windows 11 Home,1.4 kg,32.49 x 21.39 x 1.79 ~ 1.79 cm,Trung Quốc,2023,https://fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-x1404za-nk387w-i3-1215u
"Laptop Lenovo IdeaPad 3 14IAH8 i5 12450H/16GB/512GB/14""FHD/Win11 (No.00898312)",13.890.000₫,15.490.000₫,"14.0 inch, 1920 x 1080 Pixels, IPS, 60 Hz, 300 nits, Anti - Glare","Intel, Core i5, 12450H","16 GB (2 thanh 8 GB), DDR5, 4800 MHz",SSD 512 GB,Intel UHD Graphics,Windows 11 Home Single Language,1.37 kg,324.3 x 213.8 x 17.9 mm,Trung Quốc,2023,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-ideapad-3-14iah8-i5-12450h
"Laptop MSI Gaming Thin GF63 12VE-454VN i5 12450H/16GB/512GB/15.6"" FHD/GeForce RTX 4050 6GB/Win 11 (No.00878325)",19.990.000₫,22.990.000₫,"15.6 inch, 1920 x 1080 Pixels, IPS, 144 Hz, IPS FHD","Intel, Core i5, 12450H","16 GB, DDR4, 3200 MHz",SSD 512 GB,NVIDIA GeForce RTX 4050 6GB GDDR6; Intel Iris Xe Graphics,Windows 11 Home,1.86 kg,359 x  254 x 21.7 mm,Trung Quốc,2023,https://fptshop.com.vn/may-tinh-xach-tay/msi-gaming-thin-gf63-12ve-454vn-i5-12450h
"Laptop Dell Inspiron 15 N3520 i5 1235U/16GB/512GB/15.6""FHD/Win11/Office HS21 (N5I5011W1) (No.00906638)",16.490.000₫,16.990.000₫,"15.6 inch, 1920 x 1200 Pixels, WVA, 120, 250 nits, Anti-Glare LED-Backlit Display","Intel, Core i5, 1235U","16 GB, DDR4",SSD 512 GB,Intel Iris Xe Graphics,Windows 11 Home Single Language,1.9 kg,35.85 x 23.49 x 1.75 cm,Trung Quốc,2022,https://fptshop.com.vn/may-tinh-xach-tay/laptop-dell-inspiron-15-n3520-i5-1235u1-n5i5011w1
,,,,,,,,,,,,,https://fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-a1505va-l1113w-i5-13500h
"Laptop HP 245 G10 R5 7520U/8GB/256GB/14""FHD/Win11 (8F154PA) (No.00900029)",10.490.000₫,13.290.000₫,"14.0 inch, 1920 x 1080 Pixels, 1920 x 1080 Pixels, IPS, 60 Hz, LCD","AMD, Ryzen 5, 7520U",8 GB,SSD 256 GB,AMD Radeon Graphics,Windows 11 Home Single Language,1.36 kg,32.4 x 21.5 x 1.79 cm,Trung Quốc,2023,https://fptshop.com.vn/may-tinh-xach-tay/hp-245-g10-r5-7520u
"Laptop Acer Aspire 7 Gaming A715-76-57CY i5 12450H/8GB/512GB/15.6""""FHD/Win11 (No.00881876)",12.490.000₫,16.990.000₫,"15.6 inch, 1920 x 1080 Pixels, IPS, 60 Hz, Acer ComfyView LED-backlit","Intel, Core i5, 12450H","8 GB, DDR4, 3200 MHz",SSD 512 GB,Intel UHD Graphics,Windows 11 Home Single Language,2.1 kg,362.3 x 237.4  x 19.9 mm,Trung Quốc,2023,https://fptshop.com.vn/may-tinh-xach-tay/acer-aspire-7-gaming-a715-76-57cy-i5-12450h
,,,,,,,,,,,,,https://fptshop.com.vn/may-tinh-xach-tay/hp-pavilion-14-dv2073tu-i5-1235u
"Laptop Asus Vivobook X1504VA-NJ526W i5 1335U/16GB/512GB SSD/15.6"" FHD/Win11 (No.00904943)",15.990.000₫,18.990.000₫,"15.6 inch, FHD (1920 x 1080), IPS, 60 Hz, FHD","Intel, Core i5, 1335U","16 GB (2 thanh 8 GB), DDR4",SSD 512 GB,Intel Iris Xe Graphics,Windows 11 Home,1.7 kg,35.97 x 23.25 x 1.79 ~ 1.79 cm,Trung Quốc,2023,https://fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-x1504va-nj526w-i5-1335u
"Laptop Lenovo IdeaPad 1 15ALC7 R5 5500U/16GB/512GB/15.6"" FHD/Win11 (No.00901952)",10.490.000₫,12.990.000₫,"15.6 inch, 1920 x 1080 Pixels, TN, 60 Hz, 220 nits, FHD","AMD, Ryzen 5, 5500U","16 GB (2 thanh 8 GB), DDR4, 3200 MHz",SSD 512 GB,AMD Radeon 610 2GB; AMD Radeon Graphics,Windows 11 Home Single Language,1.58 kg,360.2 x 236 x 17.9 mm,Trung Quốc,2023,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-ideapad-1-15alc7-r5-5500u
"Laptop HP 15s-fq5144TU i7 1255U/16GB/512GB/15.6""FHD/Win11 (No.00859668)",18.490.000₫,22.890.000₫,"15.6 inch, 1920 x 1080 Pixels, WVA, 60 Hz, 250 nits, Wide-Viewing Angle (WVA)","Intel, Core i7, 1255U","16 GB (2 thanh 8 GB), DDR4, 3200 MHz",SSD 512 GB,,Windows 11 Home Single Language,1.69 g,"35,85 x 24,2 x 1,79 cm",Trung Quốc,2022,https://fptshop.com.vn/may-tinh-xach-tay/hp-15s-fq5144tu-i7-1255u
Laptop Asus Vivobook M3504YA-L1268W R5 7530U/16GB/512GB/15.6''OLED/Win11 (No.00895027),15.490.000₫,18.990.000₫,"15.6 inch, 1920 x 1080 Pixels, 1920 x 1080 Pixels Màn hình chính:, OLED, 60 Hz, OLED, OLED Màn hình chính:","AMD, Ryzen 5, 7530U","16 GB (2 thanh 8 GB), DDR4",SSD 512 GB,Intel Iris Xe Graphics,Windows 11 HomeWindows 11,1.70 kg,35.97 x 23.25 x 1.79 cm,Trung Quốc,2023,https://fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-m3504ya-l128w-r5-7530u
Laptop HP 14s-em0078AU R5 7520U/8GB/ 512GB/14''FHD/Win11 (No.00873154),12.490.000₫,14.190.000₫,"14 inch, 1920 x 1080 Pixels, SVA, 60 Hz, 250 nits, FHD","AMD, Ryzen 5, 7520U","8 GB (1 thanh 8 GB), LPDDR5, 5500 MHz",SSD 512 GB,AMD Radeon Graphics,Windows 11 Home Single Language,1.4 kg,32.37 x 21.5 x 1.79 cm,Trung Quốc,2023,https://fptshop.com.vn/may-tinh-xach-tay/hp-14s-em0078au-r5-7520u
,,,,,,,,,,,,,https://fptshop.com.vn/may-tinh-xach-tay/huawei-bom-wfp9i-matebook-d15-r7-5700u
,,,,,,,,,,,,,https://fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-flip-tn3402ya-lz188w-r5-7530u
"Laptop HP Pavilion 14-dv2071TU i7 1255U/16GB/512GB/14""FHD/Win11 (No.00884156)",20.990.000₫,25.190.000₫,"14 inch, 1920 x 1080 Pixels, IPS, 60 Hz, IPS","Intel, Core i7, 1255U","16 GB (2 thanh 8 GB), DDR4, 3200 MHz",SSD 512 GB,Intel Iris Xe Graphics,Windows 11 Home Single Language,1.41 kg,32.5 x 21.66 x 1.7 cm,Trung Quốc,2022,https://fptshop.com.vn/may-tinh-xach-tay/hp-pavilion-14-dv2071tu-i7-1255u
"Laptop MSI Gaming GF63 Thin 11UC-1228VN i7-11800H/8GB/512GB/15.6""FHD/GeForce RTX3050_4GB/Win11 (No.00859660)",20.490.000₫,,"15,6 inch, 1920 x 1080 Pixels, IPS, 144 Hz, 250 nits, IPS","Intel, Core i7, 11800H","8 GB, DDR4, 3200 MHz",SSD 512 GB,NVIDIA GeForce RTX 3050 4GB,Windows 11 Home Single Language,1.86 g,359 * 245 * 21.7 mm,Trung Quốc,2022,https://fptshop.com.vn/may-tinh-xach-tay/msi-gaming-gf63-thin-11uc-1228vn-i7-11800h
,,,,,,,,,,,,,https://fptshop.com.vn/may-tinh-xach-tay/hp-pavilion-14-dv2075tu-i5-1235u
"Laptop Masstel E140 Celeron N4120/4GB/128GB/14""HD/Win 10 (No.00800737)",3.590.000₫,7.990.000₫,"14.0 inch, 1366 x 768 Pixels, IPS, 60 Hz, 250 nits, IPS LCD","Intel, Celeron, N4120","4 GB, DDR4, 2400 MHz",SSD 128 GB,Intel UHD Graphics,Windows 10 Pro,1.39 kg,329 x 220 x 18.7 mm,Trung Quốc,2022,https://fptshop.com.vn/may-tinh-xach-tay/masstel-e140-celeron-n4120
"Laptop Dell Vostro V3520 i5 1235U/16GB/512GB/15.6""FHD/Win11/Office HS21 (No.00907316)",16.490.000₫,16.990.000₫,"15.6 inch, FHD (1920 x 1080), WVA, 120, 250 nits, Anti-Glare LED-Backlit Display","Intel, Core i5, 1235U","16 GB, DDR4",SSD 512 GB,Intel Iris Xe Graphics,Windows 11 Home Single Language,1.9 kg,35.85 x 23.49 x 1.75 cm,Trung Quốc,2022,https://fptshop.com.vn/may-tinh-xach-tay/dell-vostro-v3520-i5-1235u
"Laptop Asus Vivobook 16 X1605ZA-MB193W i3 1215U/8GB/512GB/16"" WUXGA/Win11 (No.00879616)",12.290.000₫,,"16.0 inch, 1920 x 1200 Pixels, IPS, 60 Hz, Anti - Glare","Intel, Core i3, 1215U","8 GB, DDR4, 3200 MHz",SSD 512 GB,Intel UHD Graphics,Windows 11 Home,1.68 kg,35.87 x 24.95 x 1.99 ~ 1.99 cm,Trung Quốc,04/2023,https://fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-16-x1605za-mb193w-i3-1215u
"Laptop Acer Aspire 3 A315-510P-34XZ i3 N305/8GB/512GB/15.6""FHD/Win11 (No.00906639)",8.990.000₫,10.990.000₫,"15.6 inch, 1920 x 1080 Pixels, IPS, 60, FHD","Intel, Core i3, N305","8 GB, LPDDR5",SSD 512 GB,Intel UHD Graphics,Windows 11 Home,1.7 kg,362.9 x 237.5 x 18.9 mm,Trung Quốc,2023,https://fptshop.com.vn/may-tinh-xach-tay/acer-aspire-3-a315-510p-34xz-i3-n305
,,,,,,,,,,,,,https://fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-a1405va-km257w-i5-13500h
